arm,seed,mAP50,mAP50_95,precision,recall
B2,42,0.8275,0.4970,0.8403,0.7682
B2,123,0.8336,0.4923,0.8213,0.7843
B2,2024,0.8335,0.5093,,0.7860
A_joint_ABO,42,0.8413,0.5097,0.8726,0.7955
A_joint_ABO,123,0.8382,0.5130,0.8570,0.7923
A_joint_ABO,2024,0.8357,0.5097,,0.7960
C-pre,42,0.8275,0.4906,0.8354,0.7650
C-pre,123,0.8288,0.4981,0.8488,0.7570
C-pre,2024,0.8273,0.4999,0.8535,0.7674
C-joint,42,0.8298,0.5054,0.8483,0.7674
C-joint,123,0.8319,0.5008,0.8426,0.7772
C-joint,2024,0.8314,0.5038,0.8307,0.7751
